encourage	3	complete	7437	11190	85282
control	1	WIP	7372	11285	82501
regard	0	NYS	7327	10336	48485
state	0	NYS	7320	10249	95789
plan	4	complete	7294	13187	121485
let	0	NYS	7253	26853	479751
kill	18	WIP	7204	14973	223741
suffer	0	NYS	7170	12055	109743
assume	1	NYS	7042	10956	77871
enter	0	NYS	7013	13930	136869
lay	0	NYS	6920	15931	83847
remember	0	NYS	6834	25635	246217
stop	0	NYS	6826	24053	298074
avoid	3	complete	6698	11835	107433
design	0	NYS	6676	11662	96583
replace	0	NYS	6588	10921	84152
define	0	NYS	6564	9426	63672
improve	0	NYS	6535	10948	112758
operate	9	complete	6503	10179	72140
wish	0	NYS	6494	16391	126492
prevent	0	NYS	6481	10439	95153
depend	0	NYS	6469	9994	80755
treat	5	complete	6455	11469	103605
arise	4	complete	6447	9523	52316
reveal	0	NYS	6429	10176	107678
refuse	0	NYS	6301	10339	93114
examine	0	NYS	6279	9274	59742
adopt	10	complete	6262	8592	54840
extend	0	NYS	6195	9614	74014
force	0	NYS	6178	10997	136346
intend	2	WIP	6124	10591	69992
arrive	5	complete	6110	13628	116873
share	1	NYS	6063	11320	114718
sit	12	WIP	6059	27713	277533
result	1	NYS	6050	8765	77036
record	0	NYS	6020	10061	73152
lie	0	NYS	5965	13335	109595
visit	3	complete	5889	11227	117387
remove	0	NYS	5856	11309	103517
enable	1	NYS	5832	10022	55223
organize	6	complete	5677	8911	33575
teach	0	NYS	5644	10199	109544
gain	0	NYS	5643	8727	74617
associate	1	NYS	5623	8094	64489
discover	0	NYS	5617	10298	94995
enjoy	0	NYS	5606	14212	154647
realize	0	NYS	5571	14962	128761
appoint	5	complete	5544	7600	33296
stay	0	NYS	5529	18439	182985
manage	10	complete	5512	12800	159184
attempt	0	NYS	5504	8051	62554
employ	0	NYS	5475	7835	48940
attend	3	complete	5450	8993	88464
prepare	0	NYS	5445	10857	118369
admit	13	complete	5410	10883	111508
study	0	NYS	5379	9170	83264
confirm	0	NYS	5204	8531	68253
drive	3	WIP	5195	14796	154744
emerge	0	NYS	5095	7575	63504
issue	0	NYS	5077	7837	61452
fight	0	NYS	5039	10441	157065
propose	8	complete	4987	7341	51861
protect	0	NYS	4940	8572	113694
mention	0	NYS	4915	10770	107608
save	1	NYS	4908	11501	121773
sign	1	WIP	4888	9154	86516
deny	9	complete	4811	7509	66591
perform	0	NYS	4805	8728	107744
demand	0	NYS	4788	8098	62929
observe	0	NYS	4785	7358	63015
impose	1	NYS	4767	6236	42783
wait	8	ready	4759	19824	204880
aim	7	complete	4758	7616	56945
demonstrate	0	NYS	4756	6693	65046
complete	0	NYS	4724	9817	94218
reject	0	NYS	4718	6295	47280
link	0	NYS	4638	7289	56000
commit	0	NYS	4624	6616	69197
close	0	NYS	4621	12621	158132
promote	0	NYS	4506	6537	68273
release	0	NYS	4500	7735	110614
cost	6	complete	4472	9946	96527
acquire	5	complete	4434	6712	37169
limit	1	NYS	4431	6553	47600
survive	0	NYS	4421	7084	61587
influence	0	NYS	4398	5786	38008
experience	0	NYS	4384	6819	77489
respond	0	NYS	4378	7135	88717
contribute	0	NYS	4352	6300	59088
declare	0	NYS	4318	6117	53741
threaten	0	NYS	4313	6631	62260
grant	1	NYS	4305	6866	52174
retain	0	NYS	4286	6449	36840
concentrate	1	NYS	4230	6954	36812
consist	1	NYS	4200	6352	45825
vary	0	NYS	4197	6271	40147
walk	0	NYS	4182	20185	310964
elect	0	NYS	4178	5135	35440
wear	0	NYS	4128	14138	151303
conclude	0	NYS	4105	5552	61597
imply	0	NYS	4100	5509	29427
watch	6	complete	4083	18934	268919
mark	1	NYS	4052	7611	52470
illustrate	0	NYS	4049	5513	27422
account	6	complete	4048	5727	35702
assess	12	ready	4012	6354	32808
catch	1	NYS	3904	13829	167939
fill	0	NYS	3900	10571	115482
order	0	NYS	3899	7338	74330
attract	0	NYS	3890	6314	54115
collect	0	NYS	3890	7821	59049
charge	0	NYS	3882	6803	74116
launch	6	complete	3874	6633	77910
supply	0	NYS	3865	7564	35566
travel	4	complete	3850	8437	70284
undertake	2	complete	3848	5892	25033
love	0	NYS	3845	14219	221935
measure	0	NYS	3832	6486	47006
ignore	1	NYS	3803	6956	84997
focus	0	NYS	3800	5546	86805
vote	1	NYS	3790	5282	82275
fit	0	NYS	3786	9206	77799
estimate	0	NYS	3783	5062	30430
emphasize	3	WIP	3771	5000	21790
eat	16	complete	3751	13823	147596
derive	1	NYS	3742	5123	26892
conduct	6	complete	3734	5099	64966
destroy	4	ready	3711	6024	73119
throw	60	complete	3710	10919	143403
hit	38	WIP	3706	10344	173794
secure	0	NYS	3701	5615	54827
divide	0	NYS	3679	5966	34724
generate	0	NYS	3671	5433	49990
address	7	complete	3628	6025	78582
combine	0	NYS	3625	5869	50932
direct	0	NYS	3625	5437	65956
succeed	6	complete	3598	5304	44216
pick	0	NYS	3563	14276	168177
attack	5	complete	3562	5798	74016
bind	0	NYS	3551	6423	42007
belong	0	NYS	3534	6157	47808
investigate	0	NYS	3533	5442	44329
test	10	ready	3520	6896	74727
approve	6	complete	3497	5241	37316
insist	0	NYS	3469	6515	60379
approach	8	ready	3466	6765	66901
own	2	complete	3456	6372	71939
rely	0	NYS	3451	5319	57605
exercise	1	NYS	3436	4913	32752
fly	23	complete	3389	8714	99776
answer	14	complete	3384	9841	129214
drop	0	NYS	3356	10177	121944
warn	5	ready	3337	6130	58537
recommend	1	NYS	3336	5881	54884
prefer	0	NYS	3324	6621	53750
justify	4	complete	3320	4514	41660
settle	16	complete	3310	7137	57335
marry	0	NYS	3270	7794	82077
stress	3	complete	3250	4220	27592
deliver	0	NYS	3242	6368	82364
accuse	1	complete	3231	4677	32107
listen	0	NYS	3218	11096	117318
strike	0	NYS	3182	7139	83638
name	0	NYS	3161	6045	103339
check	0	NYS	3125	9614	94848
dominate	0	NYS	3109	4309	35956
pursue	0	NYS	3078	4564	39685
persuade	0	NYS	3073	5014	25696
construct	3	complete	3071	4347	28702
constitute	0	NYS	3027	3858	30722
feed	0	NYS	3026	6581	51374
arrange	9	complete	3018	6998	32603
push	0	NYS	3017	10098	126037
select	0	NYS	3010	5733	44732
forget	5	ready	2992	11723	131085
analyse	1	complete	2985	4451	12828
engage	9	complete	2985	4335	61644
suppose	0	NYS	2977	11493	134822
interpret	0	NYS	2974	4223	24001
care	1	NYS	2971	7685	98841
shoot	16	complete	2955	7376	122500
arrest	5	complete	2939	4126	45984
miss	0	NYS	2937	10415	145409
exclude	5	WIP	2936	4668	22314
sound	0	NYS	2929	9330	120028
withdraw	0	NYS	2915	4613	29343
inform	0	NYS	2907	5238	57971
criticize	0	NYS	2906	3750	17548
implement	0	NYS	2898	4140	32211
house	6	complete	2896	4250	22705
invite	0	NYS	2889	6124	58995
lack	0	NYS	2884	4343	35307
dismiss	0	NYS	2877	4223	38371
fear	4	WIP	2876	5117	44052
explore	1	NYS	2872	4775	47322
transfer	0	NYS	2870	5615	33569
promise	0	NYS	2852	6110	65632
train	0	NYS	2852	5909	101980
welcome	1	WIP	2851	5629	38404
benefit	1	NYS	2833	4428	38875
distinguish	7	complete	2826	3872	25967
accompany	5	complete	2823	4715	36213
occupy	0	NYS	2816	4377	31311
abandon	8	complete	2813	4348	34251
handle	6	complete	2796	5757	58472
pull	0	NYS	2796	13134	212657
judge	0	NYS	2789	4700	37917
recall	4	complete	2778	5478	51345
repeat	7	WIP	2778	6506	52348
permit	0	NYS	2776	4427	30160
earn	0	NYS	2771	5298	56141
quote	1	NYS	2753	4282	36464
spread	0	NYS	2753	5745	42901
view	0	NYS	2753	4298	53628
review	1	NYS	2739	4135	51665
possess	0	NYS	2736	4069	30722
acknowledge	5	complete	2731	4170	44097
defend	0	NYS	2727	4152	57370
advise	9	complete	2723	5323	37910
resolve	0	NYS	2722	4083	32831
escape	0	NYS	2710	5244	48187
rule	14	WIP	2707	4001	64363
predict	0	NYS	2696	3739	41437
expand	0	NYS	2692	4151	42775
notice	0	NYS	2687	9042	126932
display	1	NYS	2666	5485	38221
challenge	1	NYS	2657	3897	57096
oppose	0	NYS	2655	3268	56591
comment	0	NYS	2644	4632	46841
imagine	0	NYS	2644	7974	92817
attach	0	NYS	2640	4840	34668
press	0	NYS	2638	7041	60177
assist	0	NYS	2621	4097	32174
separate	0	NYS	2621	4264	49692
appeal	6	complete	2618	4013	40303
finance	3	complete	2609	3376	14908
proceed	0	NYS	2605	4233	38003
urge	6	complete	2603	3871	37860
cope	1	NYS	2595	4936	22264
restrict	0	NYS	2587	3925	21882
head	0	NYS	2569	5885	100145
preserve	1	complete	2558	3711	28005
recover	0	NYS	2556	5018	43850
list	1	NYS	2550	4417	42750
restore	0	NYS	2535	3960	30225
finish	0	NYS	2510	11520	136334
alter	2	complete	2489	4170	25061
incorporate	0	NYS	2488	4259	26569
resign	0	NYS	2432	3230	21090
last	3	complete	2427	5108	83782
calculate	4	ready	2420	4116	24201
afford	5	complete	2413	5221	41919
question	0	NYS	2413	3972	63211
surround	1	NYS	2371	4310	56669
decline	4	complete	2352	3329	32717
solve	0	NYS	2338	3763	36852
match	0	NYS	2335	5123	42432
monitor	0	NYS	2335	3532	28392
disappear	0	NYS	2329	5317	53401
differ	0	NYS	2324	3305	24724
ought	1	MODAL	2321	5839	25342
complain	2	complete	2311	4240	50435
invest	0	NYS	2302	3611	37303
steal	0	NYS	2302	4570	52378
date	0	NYS	2288	3447	63712
damage	0	NYS	2287	3977	33424
sing	9	complete	2287	5916	70855
connect	0	NYS	2281	4362	56507
perceive	0	NYS	2276	2908	21724
submit	6	complete	2258	3794	49825
comprise	1	NYS	2243	3404	21116
hang	38	ready	2242	8659	96907
beat	37	ready	2224	7859	101890
appreciate	3	complete	2198	4345	49731
back	15	ready	2195	4485	154763
favor	0	NYS	2190	2925	13574
gather	0	NYS	2162	4971	53693
convert	0	NYS	2154	3826	30161
cross	24	complete	2153	6731	61329
characterize	0	NYS	2142	2676	18750
found	0	NYS	2134	2901	36495
locate	0	NYS	2129	3705	47590
hand	15	ready	2124	5105	75878
feature	0	NYS	2118	3825	69196
reinforce	0	NYS	2116	2760	16332
purchase	0	NYS	2107	3575	37991
strengthen	0	NYS	2098	2923	20588
transform	0	NYS	2097	2959	31886
clear	0	NYS	2081	5680	100991
blame	0	NYS	2080	4222	48645
sustain	1	NYS	2058	2866	25392
wonder	0	NYS	2058	11506	94479
overcome	3	complete	2056	3310	27441
contact	0	NYS	2052	5576	56553
pose	0	NYS	2051	2869	31637
participate	0	NYS	2027	2883	42961
concern	0	NYS	2026	2931	104671
owe	14	ready	2026	3623	32124
resist	1	NYS	2019	3375	30117
count	0	NYS	2003	4814	44750
expose	0	NYS	1989	3111	45571
negotiate	0	NYS	1986	3128	21502
paint	8	complete	1983	4305	42323
reply	0	NYS	1982	6816	112797
exceed	1	NYS	1978	3044	20266
range	0	NYS	1974	3317	31320
hide	0	NYS	1966	5919	65157
confine	0	NYS	1960	2663	13725
shift	0	NYS	1943	3594	35470
remind	0	NYS	1935	5225	71893
lift	0	NYS	1924	6736	60022
capture	1	NYS	1910	3055	49387
amount	3	complete	1900	2686	14465
detect	0	NYS	1900	3370	27080
guarantee	1	NYS	1900	3276	28376
burn	25	complete	1887	5069	52816
register	0	NYS	1884	3458	33646
govern	0	NYS	1876	2517	20232
rest	0	NYS	1874	4597	46695
adapt	4	complete	1871	2816	22114
advance	13	complete	1871	2880	41566
enhance	0	NYS	1864	3107	32171
suspect	0	NYS	1855	3923	48418
outline	0	NYS	1852	2802	16209
drink	4	complete	1844	7086	80582
attribute	1	NYS	1835	2287	17574
cite	0	NYS	1816	2356	32548
exploit	1	NYS	1811	2458	18838
specify	3	complete	1809	4089	16030
cease	0	NYS	1794	2956	19675
entitle	1	NYS	1792	2669	44103
tackle	1	NYS	1792	3049	23627
fix	0	NYS	1785	4501	52612
highlight	1	NYS	1780	2738	28742
suit	0	NYS	1759	4103	25631
ban	5	complete	1751	2723	30468
fulfil	0	NYS	1743	2646	5410
mount	13	ready	1741	3089	24949
celebrate	4	NYS	1735	3461	55491
behave	0	NYS	1725	3290	19209
award	3	WIP	1718	3103	32587
compose	6	WIP	1694	2391	20623
cast	0	NYS	1691	3579	37558
allocate	3	complete	1688	2536	10483
assert	4	complete	1688	2054	21799
step	0	NYS	1686	5282	73322
matter	1	NYS	1680	5007	54364
satisfy	0	NYS	1673	2836	50444
distribute	4	complete	1670	3103	25340
switch	9	WIP	1668	4387	29614
search	0	NYS	1667	4068	49163
trade	0	NYS	1663	2692	32671
compete	0	NYS	1655	3169	45684
touch	23	WIP	1654	6481	73717
split	0	NYS	1641	3085	20490
undermine	0	NYS	1641	2034	20249
retire	0	NYS	1637	3539	32087
condemn	0	NYS	1636	2281	20522
encounter	0	NYS	1635	2693	24770
dress	0	NYS	1627	5194	54591
fund	1	NYS	1620	2527	37568
devise	0	NYS	1609	2249	10213
evolve	0	NYS	1604	2037	23700
evaluate	0	NYS	1598	2438	21142
convey	0	NYS	1593	2370	17224
consult	1	NYS	1591	2777	20129
mix	0	WIP	1591	4060	38488
communicate	0	NYS	1590	2517	24188
lend	8	ready	1584	2857	19510
sleep	11	complete	1575	6417	93978
delay	0	NYS	1565	2622	19914
stick	25	WIP	1564	5721	79577
practise	1	NYS	1558	2881	9570
abolish	3	complete	1541	1864	8435
correspond	1	NYS	1539	2249	12138
trace	1	NYS	1537	2598	17979
print	0	NYS	1535	3445	29154
suspend	0	NYS	1533	2345	18372
devote	6	complete	1530	2082	23117
render	0	NYS	1528	2106	22152
defeat	0	NYS	1525	2493	40044
modify	0	NYS	1522	2261	16272
blow	62	complete	1516	4796	55320
tie	11	WIP	1514	4038	40941
confront	0	NYS	1513	2353	25756
absorb	12	complete	1512	2625	18840
eliminate	0	NYS	1509	2412	31156
research	0	NYS	1504	1992	18473
seize	0	NYS	1499	2516	20614
borrow	4	complete	1496	3006	20272
land	12	complete	1496	3713	64837
fire	16	complete	1488	3360	70986
qualify	1	NYS	1487	2989	34768
worry	0	NYS	1487	5864	123667
yield	9	complete	1482	2160	18963
initiate	0	NYS	1479	2064	16101
allege	5	complete	1473	1853	22847
provoke	0	NYS	1468	2013	12915
react	0	NYS	1467	2580	26968
install	0	NYS	1463	3131	39216
enforce	0	NYS	1457	2035	19792
adjust	6	complete	1451	2739	24973
undergo	0	NYS	1449	2431	20852
bury	1	WIP	1439	2942	40729
request	0	NYS	1436	2696	25083
injure	4	ready	1435	2508	25456
prompt	0	NYS	1429	2225	19815
interview	1	NYS	1428	2331	26448
reverse	1	NYS	1425	2246	17032
store	0	NYS	1414	3267	24377
inspire	1	complete	1411	2233	42034
advocate	2	complete	1408	1685	13614
stimulate	0	NYS	1386	2033	14215
double	0	NYS	1380	2407	29843
anticipate	3	complete	1373	2339	20741
ring	0	NYS	1370	7150	43006
educate	4	ready	1367	1865	23244
clean	1	NYS	1365	3864	36890
flow	5	complete	1362	2549	30201
export	3	complete	1361	1809	10471
wash	0	NYS	1358	4652	28329
translate	8	ready	1352	2150	25306
deserve	0	NYS	1351	3018	57891
age	2	complete	1350	2019	19012
struggle	1	NYS	1345	3607	47523
doubt	0	NYS	1337	2999	40571
assure	0	NYS	1334	2921	34711
block	0	NYS	1328	2588	39203
stretch	0	NYS	1328	4508	34609
exhibit	1	NYS	1319	1806	19169
trust	0	NYS	1318	3680	53874
envisage	1	NYS	1315	1830	5770
administer	7	complete	1312	1859	13335
waste	0	NYS	1303	3110	31034
shape	0	NYS	1301	2069	26385
recruit	1	NYS	1299	1946	17993
laugh	13	complete	1298	9115	135632
free	1	NYS	1291	2177	40017
summarize	0	NYS	1287	1897	7250
jump	0	NYS	1286	4995	80633
conceive	7	complete	1285	1763	12160
regulate	1	NYS	1283	1785	18035
induce	0	NYS	1266	2208	15757
collapse	1	NYS	1264	2300	25831
balance	1	NYS	1259	2235	23409
facilitate	1	NYS	1258	1733	17469
process	0	NYS	1247	2557	23907
shake	0	NYS	1245	8519	108522
witness	0	NYS	1233	2044	28688
value	0	NYS	1219	1913	19414
accommodate	7	complete	1211	2072	16244
remark	0	NYS	1210	2295	18764
intervene	1	NYS	1209	1677	12197
ride	16	complete	1209	5053	49741
thank	0	NYS	1208	12619	56616
comply	0	NYS	1206	2078	19062
centre	0	NYS	1204	1602	7488
cry	14	complete	1200	5792	81487
flee	2	complete	1190	2064	21214
protest	1	NYS	1187	2427	28458
guide	0	NYS	1184	2182	22939
integrate	1	NYS	1184	2210	20374
execute	5	complete	1183	1882	21598
coincide	0	NYS	1179	1606	9299
endorse	0	NYS	1174	1613	14807
dance	7	ready	1173	3514	45824
commission	0	NYS	1171	1664	16687
shout	4	complete	1166	5444	52422
climb	0	NYS	1163	5394	41354
function	1	NYS	1162	1632	15563
convince	0	NYS	1154	2182	61265
inherit	1	NYS	1147	1750	10907
score	0	NYS	1145	5032	76766
slip	0	NYS	1140	4747	43132
roll	0	NYS	1138	4696	85922
sweep	0	NYS	1138	2991	21880
isolate	1	NYS	1137	1770	17932
reproduce	0	NYS	1129	1618	9851
classify	2	complete	1125	1565	10259
respect	0	NYS	1122	1850	32500
formulate	0	NYS	1115	1551	8628
coordinate	1	NYS	1108	1636	12704
invent	0	NYS	1107	1818	18119
command	0	NYS	1106	1820	19414
resume	0	NYS	1106	1776	14371
mind	1	NYS	1093	7419	73992
hurt	0	NYS	1090	4416	87043
depict	0	NYS	1089	1465	17117
sentence	1	complete	1085	1307	16151
lock	16	complete	1084	3457	39444
boost	1	NYS	1083	1736	21775
incur	1	NYS	1079	1736	9834
import	4	complete	1078	1565	13008
opt	0	NYS	1078	1795	16512
convict	0	NYS	1074	1298	16488
plant	13	complete	1074	2614	46215
originate	0	NYS	1072	1443	11380
weigh	0	NYS	1072	2324	23175
contrast	1	NYS	1071	1439	10153
resemble	0	NYS	1070	1795	20276
decrease	0	NYS	1067	1625	18715
consume	4	complete	1065	1911	23094
embrace	6	complete	1065	1634	27221
assign	14	ready	1054	1805	21893
aid	2	complete	1053	1563	15325
subject	1	NYS	1050	1521	17333
sink	1	NYS	1048	3017	26963
persist	0	NYS	1047	1760	11202
reckon	0	NYS	1041	3920	14607
smoke	5	complete	1027	2783	33147
murder	3	complete	1025	2206	27022
await	0	NYS	1024	2010	19132
object	3	complete	1022	1943	13513
stem	1	NYS	1021	1384	8238
cancel	6	complete	1019	2239	16054
authorize	1	NYS	1017	1547	8673
concede	0	NYS	1011	1774	19328
unite	3	complete	1007	1316	18531
instruct	0	NYS	1004	1749	30852
label	0	NYS	1004	1722	10283
extract	0	NYS	1000	1732	13606
discharge	0	NYS	998	1505	9738
ease	0	NYS	998	2357	17171
progress	0	NYS	997	1907	23337
disclose	0	NYS	996	1789	16274
equip	0	NYS	993	1890	16289
hate	0	NYS	991	4711	74210
embody	1	NYS	990	1210	8994
assemble	4	complete	987	1646	14707
interfere	0	NYS	987	1712	14398
weaken	0	NYS	986	1370	11208
rush	17	ready	984	3091	38353
deem	3	complete	982	1626	16110
entail	1	NYS	982	1347	7155
knock	13	WIP	982	4350	48950
sort	0	NYS	977	3694	21470
deprive	1	NYS	976	1332	10525
campaign	4	ready	975	1350	14166
diminish	0	NYS	975	1377	9603
precede	0	NYS	975	1443	9862
contract	0	NYS	974	1613	21730
shut	9	WIP	969	4841	70185
minimize	1	NYS	964	1507	10576
risk	4	WIP	958	2018	21011
pack	16	complete	954	3136	34471
relax	1	NYS	954	3193	37184
sue	2	complete	953	1585	19894
breathe	17	complete	950	3319	40277
overlook	2	ready	950	2065	17107
lower	11	complete	949	2472	29629
schedule	1	NYS	948	1602	25034
praise	3	complete	947	1489	18260
revive	0	NYS	947	1326	10879
neglect	4	ready	943	1357	11180
specialize	1	NYS	943	1642	10133
dissolve	0	NYS	941	1508	9314
edit	5	complete	941	1661	21552
contemplate	0	NYS	939	1612	14682
tap	0	NYS	936	2074	20958
prescribe	3	complete	926	1261	10676
compensate	1	NYS	923	1420	11238
dispose	4	complete	919	1525	8640
project	1	NYS	919	1331	38229
proclaim	0	NYS	917	1223	13657
situate	0	NYS	916	2025	10049
exert	1	NYS	915	1209	6824
portray	0	NYS	915	1200	18373
pour	20	complete	914	3466	30751
transmit	1	NYS	913	1355	11647
debate	3	complete	912	1321	15383
wake	5	complete	909	3766	58232
cater	0	NYS	906	1802	10837
supervise	1	NYS	905	1305	6863
couple	1	NYS	902	1421	12258
erect	0	NYS	901	1475	8746
slow	1	NYS	901	2236	30357
tax	1	NYS	899	1370	24455
spell	0	NYS	896	2034	12368
confer	0	NYS	894	1265	8974
clarify	1	NYS	893	1435	12016
correct	1	NYS	892	1824	49328
signal	6	complete	892	1492	10677
draft	0	NYS	886	1513	11855
underlie	1	NYS	883	1095	8199
embark	6	complete	879	1340	10229
arouse	3	complete	878	1341	6117
admire	1	complete	877	2070	20406
attain	3	complete	874	1232	10486
supplement	1	NYS	872	1342	6768
term	0	NYS	871	1240	11827
